,Unnamed: 0,tweet,label
20694,20694,sexy ass yellow bone,0
5697,5697,catleesh i have small pussy size plugs,0
19767,19767,rt TAG aw y'all some hoes hating on that girl that looks like a dude,0
22656,22656,when chief keef said i aint done turning up bitch,0
9848,9848,hoes always tryna say they look like a celebrity no bitch you like the other hoe that love on krenshaw sit yo basic ass down,0
7096,7096,suchy monster you make me feel all warm and fuzzy inside TAG,0
22635,22635,what you know about getting money low key hanging with the street niccas fukn wit the og's,0
21668,21668,then i fuck yo bitch,0
12339,12339,left a nice little message in his inbox so he deleted the comment where he called me a bitch these,0
1378,1378,leelucas yall on my tl need to be sleep yall got school tomorrow bitch i got straight a's ion need to go,0
21531,21531,the bitch who shot cj is going upstate now he can rip,0
3539,3539,itsyour man you a fucking wigger so stfu,0
1623,1623,zvckslvt r my sister shittin on you hos once again vsamone wodeh bout dat action,0
4275,4275,nikkigentry just wait karma is a TAG,0
24428,24428,slap these hoes on the ass like we birthed em,0
18809,18809,rt TAG fuck these lancaster bitches they all the same,0
11238,11238,i'm beating bitch jay jay ass when i see this nigga i really ova here dead tho,0
10295,10295,i feel the sorry for the nice people in this world because they're actually the solution its all you hoes and assholes thats the problem,0
19361,19361,rt TAG anxiety is such a cunt,0
11711,11711,im a different nigga if the pussy good im not tryna fuck for no mins im stopping backing out it anything i ca think of to last longer,0
23146,23146,yeah he forgot to say dumb twisttwizzy TAG made a mistake for calling TAG bitch,0
13528,13528,offensively joe johnson just as good as lebron if not better don't me pussies,0
22417,22417,versace belts and lv wallets just won't cut it need to really show his ass up little bitch,0
22134,22134,this rain got yall women talking out your ass a nigga should spend of his income on a bitch bruh get these hoes the fuck outta here,1
6636,6636,marissarose your mouth your pussy your ass my dick and a sandwich after we fuck what kinda question is that,0
15206,15206,rt TAG robin thicke doing too much to get paula back that pussy had to have been,0
13999,13999,rt TAG when a hoe gets too friendly with bae,0
2041,2041,i ain't trippen cause i like her anyways she got a niggah and i got a girl but anyways yea anyways,0
240,240,sportscenter eli manning just threw his nfl-leading th interception of the season lmao trash,0
23273,23273,you can expect me to be a total bitch towards you now yet again,0
6828,6828,phalaenadispar how day feel bout colored folk,0
2817,2817,chalecarlo stay talking defending your fuckboy ass boyfriend or what go suck him off while youre at it faggot,1
21504,21504,the redskins trash as fuck for not getting that,0
22781,22781,where this brolic bitch at lol,0
1249,1249,fliirtnextdoor phat pussy ;: looks like a scrotum,0
6836,6836,piersmorgan house keeps passing cr's senate says no because harry ried is obamas bitch not his states who does the senators represent,0
1969,1969,best asian massage on the brooklyn park slope top rated spa,0
11957,11957,it's money over bitches even though i love ladies,0
15340,15340,rt TAG have a seat drunk bitch TAG,0
18952,18952,rt TAG TAG TAG never left hip hop fans just turned into hoes literally ratchet broads that pretend to like baske,0
24392,24392,respect the birds peace in pieces,0
720,720,#honestyhour in middle school hoes used to call me a mandingo warrior,0
17133,17133,rt TAG when i feel like he entertaining these hoes i just fall back even harder than before,0
18157,18157,rt TAG see ya TAG gives the TAG a lead in the th with a solo home run,0
22438,22438,wdmc TAG so what shit is this male hoes now what is going on,0
5454,5454,abartick the bitch in the purple shorts and aqua beats,0
18387,18387,rt TAG pick hoe lets gooo,0
14372,14372,rt TAG mr popular bald headed bitches mad at me because they look like this don't blame me blame your parents TAG,0
13169,13169,nba handle your zebras,0
22672,22672,when a bitch i don't like laugh at my joke,0
16868,16868,rt TAG im a pimp tho no limp hoe,0
943,943,bitches giving back rubs,0
6439,6439,kieffer jason bitch meet up,0
563,563,these hoes ain't loyal,0
19200,19200,rt TAG ever stay home from school and look at the clock and say yeah those bitches in math right now,0
20392,20392,rt TAG the streets ain't going no where these hoes for everybody when you got someone real you hold on to them,0
8751,8751,disgusting tonedagawd gtfohhhhh hiitaylorblake mom just bought me a pet nigger,0
12630,12630,lololol joey lattimes phone just called him retarded,0
4800,4800,sugarshai youtube bear vs monkey bike race,0
6256,6256,jessespector the bird has a hat so it's hats on hats who can beat that,0
20260,20260,rt TAG claw that ass TAG when u see that bitch who was talkin shit on twitter in public,0
16291,16291,rt TAG a nigga gone be a nigga im sorry amp a hoe gone be a hoe regardless,0
9433,9433,girls be like i love you babe lt bitch isn't that today,0
17158,17158,rt TAG tiffanyluxride damn so many fake niggas amp bitches,0
18740,18740,rt TAG first day of spring break ate half a pan of brownies amp watched episodes of parks and rec with TAG amp TAG,0
2464,2464,antiheroko bitch foh,0
4655,4655,schulzgrayson TAG if your going to talk shit at least back it up and fight bitch ass nigga i swear u niggas from are fake pussy boy,0
5205,5205,yankees isn't that kind of saying the TAG won't make it to the world series lol,0
20801,20801,should i be worried that a lady behind my building is talking to a crow,0
7404,7404,a message for all of humanity charlie chaplin TAG TAG TAG,0
23158,23158,yes lawd jusdahl god took extra time on you jaleesaraex you have lips like kylie jenner bitch i'm black,0
21908,21908,thirsty ass bitch don't sweat me,0
9275,9275,fuck that niggah he so weak he cant tell that you a freak,0
9883,9883,honestly at this point i doubt i'd fuck miley cyrus anymore that bitch is a mess,0
5915,5915,elchavaloko TAG yeah sorry monkey team just keeps kicking ppl waiting for muh pizza,0
13392,13392,no officer i wasn't drunk driving i was swerving on them hoes,0
20490,20490,real niggas treat me with respect and you're a pussy nigga,0
6585,6585,littlelouie eh take off hoser,0
14651,14651,rt TAG gator needs his gat punk ass bitch,0
20616,20616,saw a vine of kobe calling dwight howard you a bitch ass nigga,0
7224,7224,tyler smith your talking to every hick in san antonio i ride with a big in the console,0
9757,9757,he's making sure if it's ok for the bitches,0
9199,9199,friday is gunna be my bitch,0
22039,22039,this fucking little bitch landed on me in the car and really thought i wouldn't kill him,0
14307,14307,rt TAG when you realize you sent the message to your wife instead of your side hoe,0
6088,6088,heydenbunsyolo really u use in another nigga name and u follow a nigga who doesn't fucking like you your a faggot kok eyed mother fucker,0
3246,3246,get em craig i hear ya hoe,0
5386,5386,kiante im askin you negro lol,0
8041,8041,bitch ass nigga be hating on black women uncle tom bitch punk,1
14120,14120,rt TAG TAG lml se pasa de shunsha and no mi joda w ur bitch waaa,0
23978,23978,i got some retarded ass friends but i love em tho they make my life nicer,0
20189,20189,rt TAG if your girlfriend doesn't like that bitch you don't talk to that bitch,0
1579,1579,trillvanillaaa i feel like twerking this is why yo pussy stank,0
18106,18106,rt TAG only soo much a bitch can take,0
3082,3082,dswizzle naw u keep it fake get yo lame ass on somwhere wigga hell no get on somwhere,0
21169,21169,stood outside for minutes to take a phone call went back in and looked in the mirror and saw a somalian fuck the sun lil punk ass bitch,0
20052,20052,rt TAG ain't got time for stupid bitches,0
7872,7872,ayee hoe,0
14812,14812,rt TAG bitches is twerkin on camera while they kid watchin sponge bob cuh,0
19013,19013,rt TAG oreo cheesecake,0
14615,14615,rt TAG if these drop a song together bitches will never run out of quotes,0
5048,5048,trueenoughehh lol it had to be one of my old bitches,0
4093,4093,midnight snacka TAG wigga why the fuck r u in this conversation with yo stalking ass,0
13032,13032,my ex wanna work it out bitch try yoga,0
3149,3149,faghettios speak english prude ass white bitch,0
13819,13819,phone drier than yo bitch scalp,0
10462,10462,i hate pumpkin flavored items you other white bitches are crazy they're nasty,0
6671,6671,mflagginski i live in the eye of a white trash hurricane milwaukie or where people use bikes bc of dui's not to save the environment,1
6815,6815,paolo like charlie chan-style never saw that either hmm makes me think of the cockneys in the killzone series,0
14175,14175,rt TAG broke hoes words out my face,0
12065,12065,jihadis are running a claim that the king of TAG arabia died two days ago must be the bombs falling on em that r making em hallucinate,0
18416,18416,rt TAG TAG yea that hoe was rocking friday and last night,0
973,973,mcdonavins of course cooder's nudes are trash she lives in the dmv what did you expect,0
14560,14560,rt TAG when u deep in the pussy,0
21578,21578,the leftist homosexual war on the TAG church kicked into high gear with the infiltration of the priesthood by boy-raping fags,1
16887,16887,rt TAG TAG sav is a fag,1
22697,22697,when girls say like ohh i'm so ugly like bitch you ain't fishing for compliments you're like deep sea diving fuck,0
1967,1967,best asian massage on the brooklyn park slope top rated spa,0
10046,10046,i be lonely i have no hoes,0
12910,12910,most them niccas i thought was real tried to derail me,0
15104,15104,rt TAG in the me the crow would eat the bear mt TAG obviously not in the me mt TAG bear saves drowning crow an,0
22879,22879,why everybody so hype to see these famous people naked y'all hoes just alike they just got money,0
18240,18240,rt TAG this bitch,0
14166,14166,rt TAG TAG yeah after she fed up jealous skinny bitches and became one herself,0
1771,1771,girlideas why do bitches stand like this she wanted to be in mj's smooth criminal video so bad,0
5833,5833,delaylay messy i rap that and her part of problem cause i'm a bad bitch,0
13684,13684,only ounces and up niggah,0
20406,20406,rt TAG fck all you hoes catch a grip,0
11692,11692,if your a nigga and you use the term yassssssssss im just gonna assume your a fag,0
12653,12653,lookin at u hoes TAG,0
14873,14873,rt TAG niggas tweet about wanting a good girl while giving hoes attention all day,0
21195,21195,stupid ass hoe,0
5998,5998,garcialaura you'll see watch he finna hit that hoe and put some,0
6069,6069,haydenhill TAG TAG TAG indeed i did nigga is too over used so i use nigger,0
13702,13702,oomf make my skin itch like ew bitch,0
5153,5153,wizards dnd TAG tranny dragons eh i know some people that will love this,0
20386,20386,rt TAG lol imma start handing out guides amp manuals cause you bitches wanna be me so bad,0
12467,12467,literally just got shit on by a seagull you're gonna fuckin die bird,0
9947,9947,how you unblock bitches on here,0
12547,12547,lmfao TAG i only twerk to somewhere in america because when hov says twerk you twerk bitch,0
13203,13203,nature's majesty is beautiful melts butter TAG photo rare blue-colored red king crab caught in alaska waters,0
11948,11948,it's hilarious seeing chicks cry and whine through song lyrics on here because they got with a little scene fag instead of a real man,0
7227,7227,tyler wilde i'm just saying it's not like you were up against a bird-eating spider or something bet TAG coulda done it,0
10699,10699,i love a bitch with racks of her own,0
24161,24161,lmao TAG nigga ran a ponzi scheme on them hoes,0
2462,2462,anthonycumia just don't bitch when your power goes out like last time,0
11543,11543,if i aint hit that bitch then i aint hit that bitch why lie about it thats petty bullshit,0
12916,12916,mother fuck everything you got going on today because i'm going to vegas in a few hours bitch,0
24096,24096,is she choking it awwadorabie i want a pet monkey,0
20615,20615,saw pick up a dime off the floor with her toes apparently my monkey toes gene is strong with that one,0
18599,18599,rt TAG tyrxny basic tongue ring to suck dick with and a basic costume recipe for a hoe ohh kaila ready for work http,0
10448,10448,i hate bitches thirsty ass bitches,0
3417,3417,hunglikerobby that was so gay and i was tanning bitch juvie made me white,1
12849,12849,miley cyrus got the hardest song in the club j's ain't on my feet tho these hoes love these boots,0
11312,11312,i'm just upset they got faggots on this show,1
